%time,field.header.seq,field.header.stamp,field.header.frame_id,field.ns,field.id,field.type,field.action,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w,field.scale.x,field.scale.y,field.scale.z,field.color.r,field.color.g,field.color.b,field.color.a,field.lifetime,field.frame_locked,field.points0.x,field.points0.y,field.points0.z,field.text,field.mesh_resource,field.mesh_use_embedded_materials
1555597512108019219,643,1555597512107021093,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,-0.0383217372,0.0120192291215,0.418000012636,,,0
1555597512169692263,644,1555597512169007062,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,-0.0374168269336,0.0074988505803,0.418000012636,,,0
1555597512218678986,645,1555597512218091011,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,-0.0357773713768,-0.00518288882449,0.420000016689,,,0
1555597512262577459,646,1555597512261782884,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,-0.0347851142287,-0.00698302593082,0.419000029564,,,0
1555597512304676817,647,1555597512304056882,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,-0.0329709611833,-0.00879550352693,0.419000029564,,,0
1555597512358441062,648,1555597512356993913,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,-0.0321404114366,-0.00881649460644,0.420000016689,,,0
1555597512411957219,649,1555597512411425113,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,-0.0330496504903,-0.0179005078971,0.420000016689,,,0
1555597512469596387,650,1555597512465558052,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,-0.0266214311123,-0.0251077972353,0.419000029564,,,0
1555597512525657934,651,1555597512524910926,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,-0.0211284309626,-0.022335646674,0.418000012636,,,0
1555597512585244550,652,1555597512584234952,/camera_color_optical_frame,marker,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.04,1.0,0.0,0.0,1.0,0,0,-0.0202235206962,-0.0368008539081,0.418000012636,,,0
